	cuno	model
0	0.7876245482358372	cox
1	0.7505425094944096	cox
2	0.7630020909852937	cox
3	0.8542882096176887	cox
4	0.6180690749701007	cox
0	0.790804864641839	wei
1	0.7150668883318929	wei
2	0.7781221408777692	wei
3	0.8431572083951855	wei
4	0.7238326256995221	wei
0	0.6770881802041325	xgbse
1	0.7463564639165878	xgbse
2	0.7455239147975108	xgbse
3	0.8618658032437833	xgbse
4	0.6761237717561749	xgbse
0	0.6214563830354963	rsf
1	0.7444582374728841	rsf
2	0.7176866968733793	rsf
3	0.8430548575190528	rsf
4	0.6281910584082747	rsf
0	0.7978516911709786	deepsurv
1	0.7011587521582401	deepsurv
2	0.7694505324634188	deepsurv
3	0.8189280624809879	deepsurv
4	0.6745776852376607	deepsurv
