;times;auc;iauc;model;fold
0;1;0.847360483;0.841653048;deepsurv;0
1;2;0.753810649;0.841653048;deepsurv;0
2;3;0.739363762;0.841653048;deepsurv;0
3;4;0.70800372;0.841653048;deepsurv;0
4;5;0.722482683;0.841653048;deepsurv;0
5;6;0.753201298;0.841653048;deepsurv;0
6;7;0.782385465;0.841653048;deepsurv;0
7;8;0.771430906;0.841653048;deepsurv;0
8;9;0.777260969;0.841653048;deepsurv;0
9;10;0.787921423;0.841653048;deepsurv;0
10;11;0.806447839;0.841653048;deepsurv;0
11;12;0.819389779;0.841653048;deepsurv;0
12;13;0.818169563;0.841653048;deepsurv;0
13;14;0.78137512;0.841653048;deepsurv;0
14;15;0.77975715;0.841653048;deepsurv;0
15;16;0.794293935;0.841653048;deepsurv;0
16;17;0.795436768;0.841653048;deepsurv;0
17;18;0.801569223;0.841653048;deepsurv;0
18;19;0.794568791;0.841653048;deepsurv;0
19;20;0.807377496;0.841653048;deepsurv;0
20;21;0.808482851;0.841653048;deepsurv;0
21;22;0.790636457;0.841653048;deepsurv;0
22;23;0.788993627;0.841653048;deepsurv;0
23;24;0.78437267;0.841653048;deepsurv;0
24;25;0.798450778;0.841653048;deepsurv;0
25;26;0.786243476;0.841653048;deepsurv;0
26;27;0.782415536;0.841653048;deepsurv;0
27;28;0.790464986;0.841653048;deepsurv;0
28;29;0.777656226;0.841653048;deepsurv;0
29;30;0.777603514;0.841653048;deepsurv;0
30;31;0.772427876;0.841653048;deepsurv;0
31;32;0.773767814;0.841653048;deepsurv;0
32;33;0.782026384;0.841653048;deepsurv;0
33;34;0.783709846;0.841653048;deepsurv;0
34;35;0.796393253;0.841653048;deepsurv;0
35;36;0.787003245;0.841653048;deepsurv;0
36;37;0.780774143;0.841653048;deepsurv;0
37;38;0.82088175;0.841653048;deepsurv;0
38;39;0.829513484;0.841653048;deepsurv;0
39;40;0.829880994;0.841653048;deepsurv;0
40;41;0.8213929;0.841653048;deepsurv;0
41;43;0.84473278;0.841653048;deepsurv;0
42;50;0.791886105;0.841653048;deepsurv;0
43;57;0.835713975;0.841653048;deepsurv;0
44;64;0.942868994;0.841653048;deepsurv;0
45;71;0.927084344;0.841653048;deepsurv;0
0;1;0.68716094;0.729380414;deepsurv;1
1;2;0.60136933;0.729380414;deepsurv;1
2;3;0.608783527;0.729380414;deepsurv;1
3;4;0.605611274;0.729380414;deepsurv;1
4;5;0.644022115;0.729380414;deepsurv;1
